西幹北段,,,,
Seq,三碼,四碼,站名,里程數
23,10,1628,瑞和,128.3
24,9,1629,瑞源,131.1
25,8,1630,鹿野,136.6
26,6,1631,山里,142.8
27,4,1632,臺東,150.9
,,,,
南迴線,,,,
Seq,三碼,四碼,站名,里程數
1,203,1418,枋寮,0
2,204,1502,加祿,5.3
3,205,1503,內獅,8.7
4,206,1504,枋山,13.6
5,207,1505,枋野,20.2
6,208,1506,中央,23.4
7,210,1507,古莊,40.5
8,211,1508,大武,43.8
9,213,1510,瀧溪,55.5
10,214,1511,多良,
11,215,1512,金崙,63.9
12,217,1514,太麻里,74.9
13,219,1516,知本,86.6
14,220,1517,康樂,93.6
15,4,1632,臺東,98.2
,,,,
平溪線,,,,
Seq,三碼,四碼,站名,里程數
1,87,1806,三貂嶺,0
2,231,1903,大華,3.5
3,232,1904,十分,6.4
4,233,1905,望古,8.2
5,234,1906,嶺腳,10.2
6,235,1907,平溪,11.2
7,236,1908,菁桐,12.9
,,,,
內灣線,,,,
Seq,三碼,四碼,站名,里程數
1,115,1025,新竹,0
2,237,1024,北新竹,1.4
3,238,2212,千甲,3.6
4,239,2213,新莊,6.6
5,241,2203,竹中,7.9
6,242,2204,上員,10.5
7,249,2211,榮華,15
8,243,2205,竹東,16.6
9,244,2206,橫山,20
10,245,2207,九讚頭,22.2
11,246,2208,合興,24.4
12,247,2209,富貴,25.7
13,248,2210,內灣,27.9
,,,,
成追線,,,,
Seq,三碼,四碼,站名,里程數
1,148,1321,成功,0
2,134,1118,追分,2.2
,,,,
集集線,,,,
Seq,三碼,四碼,站名,里程數
1,155,1207,二水,0
2,251,2702,源泉,2.9
3,252,2703,濁水,10.8
4,253,2704,龍泉,15.7
5,254,2705,集集,20.1
6,255,2706,水里,27.4
7,256,2707,車埕,29.7
,,,,
沙崙線,,,,
Seq,三碼,四碼,站名,里程數
1,177,1230,中洲,0
2,283,5101,長榮大學,2.6
3,284,5102,沙崙,5.3
,,,,
六家線,,,,
Seq,三碼,四碼,站名,里程數
1,241,2203,竹中,0
2,240,2214,六家,3.1
,,,,
深澳線,,,,
Seq,三碼,四碼,站名,里程數
1,89,1804,瑞芳,0
2,291,6103,海科館,4.2
3,292,2003,八斗子,4.7
4,,2002,深澳,6
,,,,
